rank,protein,degree,degree_norm,pagerank_norm,betweenness_norm,rwr_norm,composite_score,is_seed_gene
1397,SLC47A1,1,0.0,0.01511,0.0,0.04667,0.02087,False
1398,DEFB1,1,0.0,0.02525,0.0,0.03791,0.02084,False
1399,FLNB,1,0.0,0.02952,0.0,0.03425,0.02084,False
1400,STIP1,1,0.0,0.02789,0.0,0.03555,0.02081,False
1401,DGKA,1,0.0,0.03038,0.0,0.03321,0.02074,False
1402,CXCL16,1,0.0,0.02502,0.0,0.03776,0.02072,False
1403,FCER1G,1,0.0,0.02825,0.0,0.03499,0.02072,False
1404,FAM49B,1,0.0,0.04744,0.0,0.0185,0.02071,False
1405,FADD,1,0.0,0.02419,0.0,0.03834,0.02068,False
1406,FASLG,1,0.0,0.02419,0.0,0.03834,0.02068,False
1407,CXCR5,1,0.0,0.02628,0.0,0.03651,0.02066,False
1408,PF4V1,1,0.0,0.02628,0.0,0.03651,0.02066,False
1409,PYCARD,1,0.0,0.02882,0.0,0.03428,0.02064,False
1410,DEFB103A,1,0.0,0.02485,0.0,0.03764,0.02063,False
1411,TNFSF8,1,0.0,0.02421,0.0,0.03816,0.02062,False
1412,CFLAR,1,0.0,0.02408,0.0,0.03827,0.02062,False
1413,SMURF1,1,0.0,0.03253,0.0,0.031,0.02061,False
1414,CCL28,1,0.0,0.02616,0.0,0.03643,0.0206,False
1415,CXCR3,1,0.0,0.02616,0.0,0.03643,0.0206,False
1416,CASP10,1,0.0,0.02403,0.0,0.03823,0.02059,False
1417,TNFSF10,1,0.0,0.02403,0.0,0.03823,0.02059,False
1418,CSH2,1,0.0,0.02654,0.0,0.03602,0.02057,False
1419,IL24,1,0.0,0.02598,0.0,0.03634,0.02051,False
1420,CD7,1,0.0,0.028,0.0,0.03459,0.02051,False
1421,FAF1,1,0.0,0.02386,0.0,0.03811,0.0205,False
1422,SERPINB2,1,0.0,0.03078,0.0,0.03213,0.02048,False
1423,HNF4A,1,0.0,0.02364,0.0,0.03816,0.02045,False
1424,DNMT3B,1,0.0,0.03123,0.0,0.03161,0.02043,False
1425,RB1CC1,1,0.0,0.02426,0.0,0.03742,0.02038,False
1426,WIPI2,1,0.0,0.02426,0.0,0.03742,0.02038,False
1427,RAB33B,1,0.0,0.02426,0.0,0.03742,0.02038,False
1428,KRT5,1,0.0,0.02955,0.0,0.03291,0.02038,False
1429,PTK2,1,0.0,0.02546,0.0,0.03636,0.02037,False
1430,NTN4,1,0.0,0.0254,0.0,0.03632,0.02033,False
1431,ACKR4,1,0.0,0.0253,0.0,0.03634,0.02031,False
1432,CXCL2,1,0.0,0.0253,0.0,0.03634,0.02031,False
1433,CXCL10,1,0.0,0.0253,0.0,0.03634,0.02031,False
1434,SDCBP,1,0.0,0.0276,0.0,0.03436,0.02031,False
1435,CCL13,1,0.0,0.02524,0.0,0.0363,0.02028,False
1436,TET1,1,0.0,0.03091,0.0,0.03145,0.02028,False
1437,FCRLA,1,0.0,0.01854,0.0,0.04204,0.02028,False
1438,CD247,1,0.0,0.02753,0.0,0.03432,0.02027,False
1439,ELAVL1,1,0.0,0.03293,0.0,0.02967,0.02026,False
1440,KCNIP3,1,0.0,0.02595,0.0,0.03565,0.02026,False
1441,POU2AF1,1,0.0,0.02234,0.0,0.03868,0.02024,False
1442,DYNLL1,1,0.0,0.02488,0.0,0.03648,0.02023,False
1443,TNFRSF18,1,0.0,0.02072,0.0,0.03984,0.02016,False
1444,MAFF,1,0.0,0.02277,0.0,0.03806,0.02015,False
1445,PMAIP1,1,0.0,0.02472,0.0,0.03637,0.02015,False
1446,TBXT,1,0.0,0.02391,0.0,0.03699,0.02012,False
1447,FHL2,1,0.0,0.02303,0.0,0.03774,0.02012,False
1448,TNFRSF13C,1,0.0,0.02177,0.0,0.03879,0.02011,False
1449,TNFRSF13B,1,0.0,0.02177,0.0,0.03879,0.02011,False
1450,TNFRSF17,1,0.0,0.02177,0.0,0.03879,0.02011,False
1451,KLRD1,1,0.0,0.02404,0.0,0.0368,0.02009,False
1452,DERL1,1,0.0,0.03184,0.0,0.03007,0.02008,False
1453,CD58,1,0.0,0.02429,0.0,0.03651,0.02007,False
1454,BCL2L10,1,0.0,0.02455,0.0,0.03626,0.02006,False
1455,CD48,1,0.0,0.02423,0.0,0.03648,0.02004,False
1456,XCL1,1,0.0,0.02277,0.0,0.03773,0.02004,False
1457,CDKN1B,1,0.0,0.02875,0.0,0.03256,0.02002,False
1458,ABL1,1,0.0,0.02754,0.0,0.03355,0.02,False
1459,SLC47A2,1,0.0,0.01373,0.0,0.04528,0.01997,False
1460,IL22RA1,1,0.0,0.02491,0.0,0.03567,0.01996,False
1461,GNB4,1,0.0,0.02327,0.0,0.03709,0.01996,False
1462,GNB5,1,0.0,0.02327,0.0,0.03709,0.01996,False
1463,GATA4,1,0.0,0.02711,0.0,0.03352,0.01987,False
1464,CD2BP2,1,0.0,0.0239,0.0,0.03626,0.01986,False
1465,SOST,1,0.0,0.02709,0.0,0.03353,0.01986,False
1466,BID,1,0.0,0.02302,0.0,0.03698,0.01985,False
1467,PPP3CC,1,0.0,0.02705,0.0,0.03349,0.01983,False
1468,UPF1,1,0.0,0.03197,0.0,0.02923,0.01982,False
1469,IL18,1,0.0,0.02221,0.0,0.03753,0.0198,False
1470,SFRP1,1,0.0,0.02697,0.0,0.03346,0.0198,False
1471,IL37,1,0.0,0.02221,0.0,0.03753,0.0198,False
1472,IL18RAP,1,0.0,0.02221,0.0,0.03753,0.0198,False
1473,NLRP1,1,0.0,0.02025,0.0,0.03921,0.0198,False
1474,SP7,1,0.0,0.02699,0.0,0.03345,0.0198,False
1475,PDX1,1,0.0,0.02973,0.0,0.03106,0.01979,False
1476,TECPR1,1,0.0,0.02437,0.0,0.03563,0.01978,False
1477,DDX58,1,0.0,0.02437,0.0,0.03563,0.01978,False
1478,GABARAPL2,1,0.0,0.02437,0.0,0.03563,0.01978,False
1479,ATG16L2,1,0.0,0.02437,0.0,0.03563,0.01978,False
1480,ERBIN,1,0.0,0.02009,0.0,0.03909,0.01971,False
1481,E2F4,1,0.0,0.02405,0.0,0.0355,0.01964,False
1482,ZFYVE9,1,0.0,0.02405,0.0,0.0355,0.01964,False
1483,TGFBR1,1,0.0,0.02405,0.0,0.0355,0.01964,False
1484,CD3D,1,0.0,0.02625,0.0,0.03357,0.01963,False
1485,LOX,1,0.0,0.03064,0.0,0.02981,0.01963,False
1486,SKIL,1,0.0,0.02399,0.0,0.03547,0.01961,False
1487,GZMK,1,0.0,0.02295,0.0,0.03635,0.01961,False
1488,GNG11,1,0.0,0.02256,0.0,0.03661,0.01958,False
1489,KAT5,1,0.0,0.02224,0.0,0.0368,0.01955,False
1490,BGLAP,1,0.0,0.02634,0.0,0.0331,0.01948,False
1491,DRC7,1,0.0,0.06491,0.0,0.0,0.01947,False
1492,RXRG,1,0.0,0.02652,0.0,0.03287,0.01946,False
1493,TCTE3,1,0.0,0.06479,0.0,0.0,0.01944,False
1494,SLFN12,1,0.0,0.02096,0.0,0.03759,0.01944,False
1495,FXYD2,1,0.0,0.02556,0.0,0.0336,0.01943,False
1496,MIXL1,1,0.0,0.02258,0.0,0.0361,0.01941,False
1497,C1QBP,1,0.0,0.01798,0.0,0.04004,0.01941,False
1498,PRKCA,1,0.0,0.02308,0.0,0.03561,0.01939,False
1499,CD3E,1,0.0,0.02578,0.0,0.0333,0.01939,False
1500,CSF1,1,0.0,0.02615,0.0,0.03299,0.01939,False
1501,PROX1,1,0.0,0.02885,0.0,0.03061,0.01937,False
1502,ALOX12,1,0.0,0.02191,0.0,0.03649,0.01934,False
1503,KLF11,1,0.0,0.01696,0.0,0.04071,0.01934,False
1504,PPARA,1,0.0,0.02626,0.0,0.03272,0.01933,False
1505,ANTXR2,1,0.0,0.01385,0.0,0.04325,0.01929,False
1506,TCP10,1,0.0,0.0641,0.0,0.0,0.01923,False
1507,CYCS,1,0.0,0.02172,0.0,0.0361,0.01915,False
1508,PDE4DIP,1,0.0,0.019,0.0,0.03832,0.01911,False
1509,CCR1,1,0.0,0.02134,0.0,0.03631,0.01911,False
1510,CCL15,1,0.0,0.02134,0.0,0.03631,0.01911,False
1511,CCR5,1,0.0,0.02134,0.0,0.03631,0.01911,False
1512,PTGDS,1,0.0,0.0213,0.0,0.03607,0.01901,False
1513,BTLA,1,0.0,0.01949,0.0,0.03759,0.019,False
1514,TNFSF14,1,0.0,0.01949,0.0,0.03759,0.019,False
1515,SLC15A4,1,0.0,0.04013,0.0,0.01984,0.01898,False
1516,ACKR1,1,0.0,0.01944,0.0,0.03756,0.01898,False
1517,CD160,1,0.0,0.01944,0.0,0.03756,0.01898,False
1518,IL20,1,0.0,0.02296,0.0,0.03443,0.01894,False
1519,SMURF2,1,0.0,0.02897,0.0,0.02927,0.01893,False
1520,MEF2A,1,0.0,0.02109,0.0,0.03601,0.01893,False
1521,HPGDS,1,0.0,0.02113,0.0,0.03596,0.01892,False
1522,KCNK4,1,0.0,0.02617,0.0,0.03155,0.01889,False
1523,PRKCG,1,0.0,0.02211,0.0,0.03498,0.01888,False
1524,AKAP1,1,0.0,0.01919,0.0,0.03746,0.01887,False
1525,FOXO1,1,0.0,0.01943,0.0,0.03727,0.01887,False
1526,PIGR,1,0.0,0.01257,0.0,0.04312,0.01886,False
1527,PTGER1,1,0.0,0.01876,0.0,0.03771,0.01883,False
1528,CD1B,1,0.0,0.01775,0.0,0.03837,0.01876,False
